"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0015850","organic hydroxy compound transport",30,0.597519289435731,2.18830217411643,0.00151929981358325,0.0244733878304701,0.0199108238727488,84,"tags=27%, list=6%, signal=26%","SPP1/TREM2/APOE/TGM2/APOC1/ABCG1/SLC5A3/SLCO2B1"
"GO:1901800","positive regulation of proteasomal protein catabolic process",16,0.680797640035682,2.10392154473354,0.00149511356335864,0.0244733878304701,0.0199108238727488,162,"tags=38%, list=11%, signal=34%","NUPR1/TREM2/ZFAND2A/HSPA1B/PLK3/HSPA1A"
"GO:1902533","positive regulation of intracellular signal transduction",142,0.374512232806848,1.88200294322373,0.00151294484313024,0.0244733878304701,0.0199108238727488,216,"tags=25%, list=15%, signal=24%","FN1/NUPR1/TREM2/APOE/TGM2/GPNMB/HPSE/ADAM8/CD81/SPHK1/HSPA1B/MERTK/ENG/FABP5/ATP2C1/SLC20A1/ITGAV/AXL/INHBA/TGFBR1/HAVCR2/PIM1/HSPA1A/NEK6/MIF/HMOX1/NRP1/PSMA6/GBP5/SKIL/APP/NFAT5/FPR2/PRKCA/VEGFB/VEGFA"
"GO:0045765","regulation of angiogenesis",55,0.502993311951002,2.167437374069,0.00155159240223276,0.024787009202611,0.0201659769372401,216,"tags=36%, list=15%, signal=32%","ANGPTL4/C3/TGM2/GPNMB/ADM/ITGA5/SPHK1/HSPB1/HK2/ENG/ITGAX/VASH1/TNFSF12/RHOB/HMOX1/NRP1/SERPINF1/PRKCA/VEGFB/VEGFA"
"GO:0034329","cell junction assembly",47,0.50741361215604,2.10961470929291,0.00169199061656163,0.0268083431296198,0.0218104743843233,296,"tags=45%, list=20%, signal=37%","FN1/MMP14/SNAI1/ACTN1/ITGA5/IL1RAP/SDC4/DOCK4/CD9/NRP1/CORO1C/APP/PRKCA/VEGFA/SRGAP1/SEMA4D/DOCK10/RAB13/TLR2/PLEC/SETD5"
"GO:0032535","regulation of cellular component size",38,0.546031312129895,2.13425147674237,0.00174936524229562,0.0272703468819148,0.022186346960863,33,"tags=11%, list=2%, signal=11%","FN1/SPP1/APOE/IL7R"
"GO:0009891","positive regulation of biosynthetic process",303,0.302165659779842,1.62796992555228,0.00174253375885795,0.0272703468819148,0.022186346960863,220,"tags=20%, list=15%, signal=22%","FN1/SPP1/NUPR1/CLEC5A/TREM2/MMP12/C3/APOE/MMP14/ADM/IL7R/SNAI1/ASPH/ACTN1/HPSE/ADAM8/CD81/DNAJA4/ID3/ABCG1/ETV5/SPHK1/HSPH1/SLC5A3/HSPB1/IL1RAP/HSPA1B/SLC25A37/SLC11A1/SLC7A5/ENG/ITGAX/ACSL3/IL4I1/INHBA/CEBPB/TGFBR1/CCL2/CD38/YWHAH/HAVCR2/PIM1/IER5/HSPA1A/PNP/INO80C/MIF/SOAT1/HMOX1/GSN/HSPD1/GBP5/HSPA5/ATF5/HMGA1/APP/NFAT5/NAA15/TSC22D1/PRKCA/VEGFA/OPN3"
"GO:0048675","axon extension",10,0.765258570590827,2.10073036745482,0.00179887245845846,0.0275969877952398,0.0224520923386545,216,"tags=60%, list=15%, signal=51%","FN1/APOE/ALCAM/NRP1/NRP2/VEGFA"
"GO:0032787","monocarboxylic acid metabolic process",68,0.452380775496634,2.01198313880215,0.0017888777381597,0.0275969877952398,0.0224520923386545,230,"tags=31%, list=16%, signal=27%","ANGPTL4/NUPR1/C3/APOC1/SCD/SLC1A3/FBP1/HK2/FABP5/SDS/ACSL3/IL4I1/PTGS1/MIF/LDHA/APP/MTHFS/SLC16A3/ACSL4/DEGS1/SESN2"
"GO:0046545","development of primary female sexual characteristics",16,0.673665074858725,2.08187922751248,0.00184571962277774,0.0278732502408544,0.0226768512864304,120,"tags=44%, list=8%, signal=41%","NUPR1/LHFPL2/MMP14/MMP19/RETN/INHBA/CEBPB"
