"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"JMJD6",4.30757057239908e-05,0.481125422421252,0.198,0.139,0.583158904091387,"JMJD6"
"BTG3",4.40620911181289e-05,0.312407053860458,0.204,0.141,0.596512589557229,"BTG3"
"INHBA",4.48232680876671e-05,0.807134352578237,0.125,0.078,0.606817403370838,"INHBA"
"TMEM109",4.51065056659674e-05,0.454792245840151,0.188,0.13,0.610651873705866,"TMEM109"
"APBB1IP",4.52464866395605e-05,-0.279826057822175,0.237,0.31,0.612546936126369,"APBB1IP"
"SNX10",4.61918584489083e-05,0.371359808800459,0.373,0.302,0.625345379681321,"SNX10"
"MSR1",4.65365799278035e-05,0.266765711660568,0.249,0.175,0.630012219062603,"MSR1"
"ORMDL1",4.81532819517153e-05,-0.439828113314876,0.228,0.286,0.651899131062322,"ORMDL1"
"CBWD2",4.94640690261878e-05,-0.490332727902695,0.073,0.116,0.66964456647653,"CBWD2"
"STK4",5.03182014090409e-05,-0.270734787403715,0.367,0.446,0.681207810675596,"STK4"
"P4HB",5.13656838869495e-05,0.332887957144577,0.479,0.426,0.695388628461522,"P4HB"
"CANX",5.20944224104311e-05,0.287834315194562,0.512,0.467,0.705254290592417,"CANX"
"RCSD1",5.21135291775482e-05,-0.630948946533308,0.134,0.183,0.705512958005647,"RCSD1"
"BROX",5.25861152382074e-05,-0.331527016442781,0.121,0.175,0.711910828094851,"BROX"
"NINJ1",5.46644768857622e-05,0.271494655861001,0.525,0.432,0.740047688079449,"NINJ1"
"VMP1",5.48752009668034e-05,0.278902995779742,0.574,0.515,0.742900470688585,"VMP1"
"SGPL1",5.59263045832834e-05,0.427188452343341,0.147,0.093,0.757130311448491,"SGPL1"
"YME1L1",5.69507572578847e-05,-0.276565009474801,0.327,0.403,0.770999351757243,"YME1L1"
"RNF139",5.79369418622934e-05,-0.489729136254764,0.09,0.137,0.784350318931727,"RNF139"
"HINT2",5.86739600106569e-05,-0.417475011914084,0.177,0.236,0.794328070624273,"HINT2"
"TMEM55A",5.87063485927023e-05,-0.502507573866562,0.081,0.125,0.794766547248004,"TMEM55A"
"H3F3C",5.95082789384256e-05,-0.302031468678165,0.155,0.216,0.805623080268406,"H3F3C"
"RHOC",6.00332740386711e-05,0.356409899139788,0.352,0.285,0.812730463935529,"RHOC"
"IKZF1",6.0722625467248e-05,-0.472226428026786,0.146,0.2,0.822062903575604,"IKZF1"
"AMPD3",6.08204523023609e-05,0.650146689865845,0.106,0.061,0.823387283269362,"AMPD3"
"NPL",6.095340987618e-05,-0.558776886186281,0.149,0.199,0.825187262903725,"NPL"
"SEPT1",6.17438770768682e-05,-0.442113222640731,0.063,0.102,0.835888607866642,"SEPT1"
"GNA15",6.2731145242198e-05,0.482821072230434,0.262,0.198,0.849254244288876,"GNA15"
"CD300C",6.3357606320855e-05,-0.33829278750444,0.086,0.132,0.857735274371735,"CD300C"
"TPM4",6.43628668404746e-05,0.286206434994313,0.59,0.554,0.871344491286345,"TPM4"
"SCOC",6.45113121367551e-05,0.723987993414868,0.102,0.06,0.873354143707391,"SCOC"
"CPT1A",6.52070858479448e-05,-0.601953943040236,0.07,0.111,0.882773528209477,"CPT1A"
"CD1C",6.72243251487362e-05,-0.63457353807099,0.12,0.169,0.910082913863591,"CD1C"
"CNIH4",7.31254604283907e-05,0.300096482053863,0.334,0.256,0.989972483279553,"CNIH4"
"SUMF2",7.36887239289588e-05,0.436357272371982,0.182,0.126,0.997597944550244,"SUMF2"
"ALOX5",7.41759514093416e-05,0.395371893664563,0.32,0.26,1,"ALOX5"
"GIMAP4",7.43076140085236e-05,-0.328653194863421,0.227,0.291,1,"GIMAP4"
"CAT",7.80619314193664e-05,-0.261890616768021,0.232,0.3,1,"CAT"
"BOLA3",8.06594665334025e-05,0.699010225557385,0.136,0.089,1,"BOLA3"
"MPP1",8.27025779975105e-05,0.28350880114673,0.267,0.197,1,"MPP1"
"LMO4",8.63950799922464e-05,-0.412295162296613,0.276,0.342,1,"LMO4"
"AGPAT3",8.67012152155657e-05,-0.571445576975923,0.071,0.111,1,"AGPAT3"
"PSIP1",8.73648870085134e-05,-0.411171306681281,0.127,0.18,1,"PSIP1"
"THEMIS2",8.83962135800067e-05,-0.297651489123469,0.354,0.412,1,"THEMIS2"
"IQSEC1",8.90570587553269e-05,-0.518719149028104,0.085,0.129,1,"IQSEC1"
"RASGEF1B",8.99361785489009e-05,-0.333921997866016,0.312,0.374,1,"RASGEF1B"
"GNPTAB",9.19323944681328e-05,0.587807864901625,0.192,0.14,1,"GNPTAB"
"PHF11",9.23560407234805e-05,-0.307858192069001,0.17,0.23,1,"PHF11"
"PRKAG2-AS1",9.35551835650185e-05,0.378596859172256,0.114,0.068,1,"PRKAG2-AS1"
"NFKBID",9.35902598668254e-05,-0.401999273385451,0.26,0.321,1,"NFKBID"
"MARCKSL1",9.58699446856645e-05,0.513030562334446,0.293,0.24,1,"MARCKSL1"
"SP3",9.59869689448145e-05,-0.43743785862638,0.101,0.148,1,"SP3"
"LINC00667",9.92501524138015e-05,-0.698041502933658,0.088,0.13,1,"LINC00667"
"ZNF652",0.000100288546112949,-0.514657621860068,0.068,0.108,1,"ZNF652"
"CLIC4",0.000109457557358704,0.691586531643405,0.134,0.088,1,"CLIC4"
"NCF4",0.000110086455116675,-0.261953144104818,0.267,0.343,1,"NCF4"
"OAZ2",0.000110589859793181,-0.332000623118997,0.338,0.4,1,"OAZ2"
"PLEC",0.000113936092489711,0.475634271028917,0.165,0.112,1,"PLEC"
"TAOK1",0.000116765632984922,-0.33023350861047,0.15,0.207,1,"TAOK1"
"NCF2",0.00011677276313891,0.4336693132913,0.381,0.339,1,"NCF2"
"XPA",0.000117566462289961,-0.705750286385747,0.087,0.128,1,"XPA"
"MAFB",0.000119827438275951,0.298255372174158,0.455,0.389,1,"MAFB"
"IRF1",0.000123213132453637,-0.268977250165598,0.378,0.454,1,"IRF1"
"OGDH",0.000124771487205845,-0.564195268164502,0.077,0.117,1,"OGDH"
"MAN2A1",0.000128107347358812,-0.58854782129447,0.096,0.14,1,"MAN2A1"
"PRCP",0.000129777321488946,-0.367035826850774,0.253,0.314,1,"PRCP"
"CLPTM1",0.000130260139366699,0.49991435579423,0.13,0.084,1,"CLPTM1"
"CD58",0.000131395068175434,0.277156840411745,0.282,0.212,1,"CD58"
"RIN2",0.000131973776416016,-0.321987021562298,0.081,0.125,1,"RIN2"
"RTFDC1",0.000133195343416515,-0.253261446381405,0.333,0.407,1,"RTFDC1"
"ST3GAL6",0.000134406821815692,0.771888697471965,0.105,0.064,1,"ST3GAL6"
"EVI5",0.000134629805813491,-0.429449020052403,0.115,0.163,1,"EVI5"
"NAGA",0.000136264774892425,-0.382080659845016,0.199,0.257,1,"NAGA"
"CACNA2D3",0.000139143850876731,-0.343729519052807,0.079,0.121,1,"CACNA2D3"
"CNTRL",0.000142181271064982,-0.399206455950588,0.147,0.199,1,"CNTRL"
"POLK",0.000143363655053554,-0.292969246009033,0.108,0.158,1,"POLK"
"VPS8",0.000143728076489807,0.90118067775174,0.107,0.066,1,"VPS8"
"PRKAG2",0.00014654657101987,0.381572360738178,0.239,0.178,1,"PRKAG2"
"LSM6",0.000147369680934051,-0.255794897219484,0.323,0.392,1,"LSM6"
"SRSF6",0.000148938071699452,-0.347979197981626,0.145,0.2,1,"SRSF6"
"ZNF800",0.000149467300136583,-0.391408135278285,0.09,0.135,1,"ZNF800"
"EAPP",0.000149972603768062,-0.482253861247428,0.162,0.213,1,"EAPP"
"GIMAP7",0.000151171680360575,-0.466165364294086,0.12,0.168,1,"GIMAP7"
"FAM195A",0.000154862234882287,0.495241740109041,0.151,0.101,1,"FAM195A"
"EIF2AK4",0.00015615771357919,-0.551600101756016,0.125,0.174,1,"EIF2AK4"
"RAB24",0.000157547151134211,-0.250297160843609,0.161,0.22,1,"RAB24"
"ASRGL1",0.000158717682383458,-0.587011915648871,0.072,0.11,1,"ASRGL1"
"ATP6V1H",0.000159973735511226,0.501449618897872,0.175,0.123,1,"ATP6V1H"
"MESDC2",0.000167108043863197,0.426124029404117,0.291,0.232,1,"MESDC2"
"ARID5A",0.000171222619043769,0.371332746152178,0.232,0.172,1,"ARID5A"
"SIRPA",0.000172462170365226,0.404730590541859,0.232,0.172,1,"SIRPA"
"OAS3",0.000173061375757892,-0.433249224042201,0.067,0.104,1,"OAS3"
"FLOT1",0.000175414794421425,0.257447039350718,0.45,0.388,1,"FLOT1"
"MSL1",0.000175735498832853,-0.364827440022845,0.076,0.117,1,"MSL1"
"INPP5D",0.000180449828153279,-0.348885006981715,0.134,0.184,1,"INPP5D"
"AFF4",0.000182110557752422,0.469737716823578,0.249,0.191,1,"AFF4"
"QSOX1",0.000183953314539724,0.62580646141101,0.169,0.119,1,"QSOX1"
"CALU",0.000186135127483474,0.508415358920606,0.187,0.135,1,"CALU"
"PLK2",0.000195748080846768,-0.424442379138494,0.068,0.106,1,"PLK2"
"CHST11",0.000198884972366793,0.288668171756486,0.197,0.14,1,"CHST11"
"ARL5A",0.000200504088909485,-0.373232118387865,0.297,0.355,1,"ARL5A"
"TOP1",0.000201947971871331,0.349376217103006,0.397,0.339,1,"TOP1"
"DSE",0.000207032220260054,0.431625437012713,0.34,0.283,1,"DSE"
"SDC2",0.000207837470619496,0.490747869684963,0.142,0.094,1,"SDC2"
"MDM2",0.000208602773075246,0.519385441475277,0.135,0.089,1,"MDM2"
"STUB1",0.000209375691189638,-0.348102484147925,0.173,0.229,1,"STUB1"
"DOCK10",0.000210901704427589,0.533873177030044,0.224,0.173,1,"DOCK10"
"ARHGEF40",0.000212673063311892,-0.407364384746087,0.085,0.127,1,"ARHGEF40"
"RPS6KB2",0.000217562523104706,-0.452162068893626,0.14,0.188,1,"RPS6KB2"
"PRDX4",0.000228176469465306,0.383241403948722,0.236,0.178,1,"PRDX4"
"NKG7",0.000235879585131463,0.447254683163016,0.165,0.115,1,"NKG7"
"FAM32A",0.000236394191066586,-0.307211893394915,0.206,0.262,1,"FAM32A"
"GIMAP1",0.000244036992595514,-0.588791738926859,0.085,0.125,1,"GIMAP1"
"TOM1",0.000244742511647598,0.477793116029358,0.153,0.104,1,"TOM1"
"DUSP5",0.000244981793259993,-0.300877220713477,0.103,0.148,1,"DUSP5"
"CCT3",0.000249276293049883,0.336042433633432,0.271,0.215,1,"CCT3"
"PNP",0.000251429895954032,0.66974370938854,0.211,0.163,1,"PNP"
"PTPN1",0.00025289049760716,0.300244569396843,0.368,0.3,1,"PTPN1"
"CEP170",0.000253860259605787,0.684872336937123,0.218,0.171,1,"CEP170"
"SIGLEC10",0.00025435558951123,0.488814119604524,0.176,0.127,1,"SIGLEC10"
"IMP3",0.000255312544029312,0.384920963035359,0.225,0.17,1,"IMP3"
"FOXO3",0.000257979546562292,-0.393030145906708,0.17,0.223,1,"FOXO3"
"SPPL2A",0.000271692932754346,0.413924943264384,0.263,0.206,1,"SPPL2A"
"RIT1",0.00027412157184408,0.293997282283763,0.19,0.135,1,"RIT1"
"ERP44",0.000282813921264666,0.274651598178073,0.416,0.351,1,"ERP44"
"CSF2RA",0.000283419736701576,0.315873701493941,0.341,0.281,1,"CSF2RA"
"LAT2",0.000286309594127206,0.265117184066045,0.312,0.246,1,"LAT2"
"XPC",0.00029162549431581,-0.504430210730669,0.079,0.118,1,"XPC"
"HMHA1",0.000297583850968862,-0.405923249348345,0.124,0.172,1,"HMHA1"
"SLC9A3R1",0.000314417006631901,-0.521603781182887,0.088,0.127,1,"SLC9A3R1"
"ABTB1",0.000329558471206032,-0.559829870151533,0.078,0.116,1,"ABTB1"
"IDH1",0.000331124734523679,0.393181026646128,0.161,0.113,1,"IDH1"
"PHF5A",0.000334605757796932,-0.463202738375516,0.16,0.209,1,"PHF5A"
"OAT",0.000341359674419103,0.311121579167397,0.186,0.132,1,"OAT"
"GTF2B",0.00034774456741941,-0.400049464965046,0.247,0.297,1,"GTF2B"
"ROGDI",0.00034921931389734,-0.289257440348474,0.09,0.133,1,"ROGDI"
"SOCS1",0.000353683851787832,0.283469328844442,0.146,0.099,1,"SOCS1"
"EIF4EBP1",0.000355387316307183,0.267261202976098,0.349,0.277,1,"EIF4EBP1"
"TCEAL3",0.000376843424562368,0.479771909223683,0.136,0.093,1,"TCEAL3"
"UBA6",0.000379424377259922,0.63102696598268,0.142,0.1,1,"UBA6"
"TMEM154",0.000387919535496292,-0.40401926377086,0.09,0.132,1,"TMEM154"
"PARL",0.000388135370931436,-0.350782536934348,0.248,0.303,1,"PARL"
"SPECC1",0.000394674223585386,-0.278977953757765,0.109,0.155,1,"SPECC1"
"TIMM13",0.000398283493251666,0.275664975450222,0.41,0.345,1,"TIMM13"
"CD4",0.000400985874283618,-0.274636440716245,0.361,0.416,1,"CD4"
"ZMIZ1",0.000416873508235989,0.470522197486952,0.195,0.144,1,"ZMIZ1"
"NANS",0.00041718253784561,0.266084127870853,0.333,0.268,1,"NANS"
"CARS2",0.000419092915698237,-0.479159258794165,0.071,0.107,1,"CARS2"
"TNIP1",0.000424919779415696,0.554018234582407,0.202,0.153,1,"TNIP1"
"SH3BP1",0.000427990004870052,-0.284358711761861,0.101,0.145,1,"SH3BP1"
"BCL6",0.000430981392502182,-0.271978449791104,0.119,0.167,1,"BCL6"
"ARPC1A",0.000431018233266402,-0.417661188950577,0.129,0.175,1,"ARPC1A"
"UBE2J2",0.000449637497205112,-0.439509112064324,0.112,0.155,1,"UBE2J2"
"SPSB3",0.000452495914198886,-0.354522593233377,0.116,0.16,1,"SPSB3"
"TUBA4A",0.000458419864082175,-0.464322697456994,0.082,0.12,1,"TUBA4A"
"FAH",0.000468771525143642,0.442539083120735,0.113,0.072,1,"FAH"
"EML4",0.000469896945063775,0.611974068352008,0.217,0.172,1,"EML4"
"KCNK6",0.000471466417632036,-0.284869330487346,0.179,0.233,1,"KCNK6"
"ATG2A",0.000473040161419036,-0.539943330126928,0.076,0.112,1,"ATG2A"
"ZDHHC7",0.000483533237440674,-0.445267068969471,0.085,0.123,1,"ZDHHC7"
"SLA",0.00048508309099847,0.270263151314162,0.355,0.289,1,"SLA"
"ARHGEF6",0.000491233957600548,-0.258449805179427,0.13,0.18,1,"ARHGEF6"
"ISCU",0.000492853929343288,-0.269267564676531,0.336,0.394,1,"ISCU"
"PPCS",0.000499273122574594,-0.325996605619,0.268,0.322,1,"PPCS"
"ACOT13",0.000501337084207746,0.607047854664632,0.13,0.088,1,"ACOT13"
"COA5",0.000502624652427807,-0.48020617190209,0.094,0.134,1,"COA5"
"SPOPL",0.00050634480037778,-0.321542353266881,0.075,0.113,1,"SPOPL"
"EAF1",0.000510126679486361,0.600830347198792,0.141,0.098,1,"EAF1"
"LTBR",0.000510924413737604,0.525972586008409,0.168,0.122,1,"LTBR"
"FAM127A",0.000512843532286975,0.672694700979241,0.131,0.09,1,"FAM127A"
"FBXW7",0.000520260778062353,-0.304003085464857,0.075,0.112,1,"FBXW7"
"ADK",0.000521720414647694,-0.424392643368203,0.095,0.135,1,"ADK"
"CCNL2",0.000524859158966846,0.721831802165872,0.109,0.072,1,"CCNL2"
"MTSS1",0.000539817322195023,-0.529160152869467,0.107,0.147,1,"MTSS1"
"CDC42SE2",0.000549282541231514,-0.335673371318703,0.232,0.286,1,"CDC42SE2"
"CACYBP",0.000564789922272311,0.333262324029118,0.38,0.332,1,"CACYBP"
"DPM3",0.000575962999757161,0.332228261684451,0.267,0.21,1,"DPM3"
"GPR137B",0.000585066116386189,0.28542223272186,0.171,0.12,1,"GPR137B"
"SLC40A1",0.000589062842988542,0.339569731143977,0.144,0.099,1,"SLC40A1"
"HGSNAT",0.000596351860938292,-0.489114190754646,0.153,0.197,1,"HGSNAT"
"LAGE3",0.000608507665384123,0.33027310512783,0.256,0.199,1,"LAGE3"
"TUSC2",0.000612002455139979,-0.449899895047872,0.138,0.181,1,"TUSC2"
"ELMSAN1",0.000619716932179545,-0.310568064409861,0.081,0.119,1,"ELMSAN1"
"PARVG",0.000621670301152824,-0.294987904072861,0.314,0.365,1,"PARVG"
"BZW1",0.000626296758427025,0.281536070692777,0.499,0.446,1,"BZW1"
"FNTA",0.000640073700583022,-0.429101589126415,0.146,0.193,1,"FNTA"
"ETS2",0.000657665140343597,0.308831204126303,0.465,0.407,1,"ETS2"
"SEMA4D",0.000668656385832173,0.539014200546762,0.145,0.102,1,"SEMA4D"
"TRAF3IP3",0.000678175818898258,-0.320267574389598,0.119,0.164,1,"TRAF3IP3"
"TAF11",0.000683551612524167,-0.393431176870973,0.138,0.183,1,"TAF11"
"SMARCC1",0.000686846326952389,-0.392227305604017,0.129,0.175,1,"SMARCC1"
"TFPT",0.000694238186666566,0.339416525752507,0.218,0.165,1,"TFPT"
"ILF3-AS1",0.000697768092151349,-0.311202988883595,0.139,0.187,1,"ILF3-AS1"
"PLXNC1",0.000705574881612022,0.34702430166247,0.182,0.133,1,"PLXNC1"
"CRBN",0.000709357587652197,-0.445616792133283,0.161,0.209,1,"CRBN"
"ACSL4",0.000713841135549968,0.569048477116103,0.262,0.222,1,"ACSL4"
"C21ORF59",0.000729515335457954,-0.425795201347196,0.081,0.118,1,"C21ORF59"
"INO80C",0.000732080931625657,0.664488338466831,0.106,0.069,1,"INO80C"
"WAC-AS1",0.000735785665632126,-0.609290856321149,0.073,0.106,1,"WAC-AS1"
"SCAPER",0.000739058471252294,-0.533993765090437,0.066,0.1,1,"SCAPER"
"RPS6KA4",0.000754613839003986,-0.516871080917483,0.074,0.108,1,"RPS6KA4"
"RXRA",0.000759864218229084,-0.41349304068048,0.132,0.176,1,"RXRA"
"TTC14",0.000765998754175787,-0.44041270324812,0.104,0.143,1,"TTC14"
"SELPLG",0.000769340001837061,-0.331888202366865,0.16,0.208,1,"SELPLG"
"AKNA",0.000770368613167269,-0.402615434655253,0.13,0.174,1,"AKNA"
"REXO2",0.000777488505418735,0.468799730342855,0.14,0.098,1,"REXO2"
"ZNF281",0.000779185193189135,0.461286102895511,0.163,0.117,1,"ZNF281"
"TRPS1",0.000782048992651348,-0.444103608494062,0.083,0.12,1,"TRPS1"
"RRP7A",0.000784242897397436,0.339693143919333,0.234,0.181,1,"RRP7A"
"DUSP10",0.000792225451551826,0.430890746254234,0.141,0.099,1,"DUSP10"
"C16ORF72",0.000796419709320934,-0.308041353589029,0.174,0.224,1,"C16ORF72"
"EBLN3",0.000807009103411673,-0.419487370234277,0.09,0.128,1,"EBLN3"
"CNIH1",0.00082474418713663,0.285125940739897,0.278,0.224,1,"CNIH1"
"COPS8",0.000832734953546287,0.455448631995472,0.133,0.092,1,"COPS8"
"ATP5A1",0.000837136287779552,-0.255035352147875,0.461,0.51,1,"ATP5A1"
"KLF13",0.000852183396211577,-0.59552422913501,0.073,0.107,1,"KLF13"
"LRMP",0.000870286756961467,-0.443824704373069,0.071,0.105,1,"LRMP"
"PTEN",0.000872720766505516,0.388096933547811,0.222,0.172,1,"PTEN"
"SRGAP2C",0.000874228702109941,-0.617119785299087,0.124,0.162,1,"SRGAP2C"
"GRIPAP1",0.000885950734168983,-0.446792254941154,0.113,0.153,1,"GRIPAP1"
"GOLIM4",0.000887117672821608,0.351145011314087,0.169,0.122,1,"GOLIM4"
"PTK2B",0.000891297004303169,0.319975899586763,0.191,0.141,1,"PTK2B"
"P2RX4",0.000910052137162308,0.333849981489637,0.186,0.138,1,"P2RX4"
"MGME1",0.000917331947779732,-0.473782237854912,0.075,0.11,1,"MGME1"
"FAM120A",0.000918797539815208,-0.290338473993455,0.262,0.315,1,"FAM120A"
"CD38",0.000921109642570444,0.706296939583867,0.111,0.075,1,"CD38"
"UBE2R2",0.000928763772380094,-0.269323221426585,0.266,0.319,1,"UBE2R2"
"MAPRE2",0.000966638674857003,-0.415535660020816,0.113,0.153,1,"MAPRE2"
"BAZ2A",0.000975120713712156,-0.404856715663662,0.113,0.154,1,"BAZ2A"
"ARHGEF1",0.000983802835642846,-0.405780329834693,0.098,0.137,1,"ARHGEF1"
"ETNK1",0.000993980744825603,0.489337437394544,0.174,0.131,1,"ETNK1"
"ARHGAP5",0.000995431686553625,-0.30660935562162,0.091,0.13,1,"ARHGAP5"
"MRPL17",0.00102971587705125,0.533033716488764,0.135,0.095,1,"MRPL17"
"STAT6",0.00103103258879195,-0.349389885734708,0.135,0.18,1,"STAT6"
"NFAM1",0.00104617233161183,-0.570246194330114,0.073,0.105,1,"NFAM1"
"PPP1R14B",0.00104680561184633,0.893000019819458,0.107,0.072,1,"PPP1R14B"
"FAM50A",0.00104795153253596,0.28243903503424,0.323,0.264,1,"FAM50A"
"FLI1",0.00105111077197751,-0.372880428677331,0.105,0.145,1,"FLI1"
"STMN1",0.00106727831435166,-0.446476404920353,0.227,0.271,1,"STMN1"
"STK24",0.00107559475455196,0.477477850545352,0.174,0.13,1,"STK24"
"SQRDL",0.00110130959540263,0.298927136626393,0.295,0.238,1,"SQRDL"
"ATF7IP",0.00110871988124564,-0.333533991356698,0.113,0.156,1,"ATF7IP"
"ARFGAP3",0.00110944897488791,0.494255811960929,0.218,0.174,1,"ARFGAP3"
"CREBRF",0.00112142107050673,-0.411610736162829,0.191,0.234,1,"CREBRF"
"SYTL3",0.00112904612383244,0.272531891980549,0.138,0.098,1,"SYTL3"
"DESI1",0.00113284114232203,0.434874159648874,0.141,0.1,1,"DESI1"
"PRRC2B",0.00116303568661081,-0.438394852241838,0.08,0.115,1,"PRRC2B"
"HNRNPUL1",0.001165118717919,-0.26711735504903,0.234,0.288,1,"HNRNPUL1"
"MEA1",0.00117082665771599,0.314754344335853,0.227,0.176,1,"MEA1"
"EHBP1L1",0.0011829401986204,-0.386193593184715,0.124,0.165,1,"EHBP1L1"
"TCEAL8",0.00118326600729373,0.279993425096112,0.266,0.211,1,"TCEAL8"
"UBXN2B",0.0011959622519223,0.357506430167365,0.13,0.09,1,"UBXN2B"
"SLCO3A1",0.00121052729795024,-0.292319913895679,0.098,0.138,1,"SLCO3A1"
"GTF2I",0.00123243653454254,-0.27621923523155,0.208,0.26,1,"GTF2I"
"VSIG4",0.00123356640706599,-0.422264567341796,0.303,0.339,1,"VSIG4"
"SYPL1",0.00124269474348951,0.367984436973434,0.206,0.16,1,"SYPL1"
"IL6R",0.00124381368057279,0.509094482821754,0.195,0.152,1,"IL6R"
"RRBP1",0.00124670596938073,0.256785921552962,0.365,0.313,1,"RRBP1"
"TOMM5",0.00125852406106272,0.459159199388019,0.151,0.109,1,"TOMM5"
"TTC37",0.0012672359722846,-0.30585707005051,0.14,0.185,1,"TTC37"
"PLEKHB2",0.00128073531547796,0.327943361022388,0.388,0.335,1,"PLEKHB2"
"NFKBIE",0.00129377748455307,0.286431917568445,0.195,0.146,1,"NFKBIE"
"ANKLE2",0.0013008834490689,0.766596208317569,0.129,0.094,1,"ANKLE2"
"NUP50",0.00132240150656027,-0.349211876005936,0.085,0.121,1,"NUP50"
"MPZL1",0.00133524172094399,0.537828383384982,0.118,0.081,1,"MPZL1"
"NFAT5",0.00134076547522703,0.590952066214949,0.148,0.109,1,"NFAT5"
"GBA",0.00135478293635567,0.273467055400447,0.132,0.091,1,"GBA"
"ATF6",0.00136038765092439,-0.310144005179775,0.233,0.282,1,"ATF6"
"DIAPH1",0.00136470570911496,-0.276686333386066,0.134,0.178,1,"DIAPH1"
"ABCE1",0.00140675519682825,0.453933204550183,0.147,0.107,1,"ABCE1"
"MTHFS",0.00140774908320017,0.58955687070166,0.156,0.116,1,"MTHFS"
"PGRMC1",0.00141804911988494,0.540236417893738,0.129,0.09,1,"PGRMC1"
"GAPVD1",0.00144262633866044,-0.324537618222689,0.085,0.121,1,"GAPVD1"
"SRM",0.00144520939463177,0.719494642098941,0.123,0.088,1,"SRM"
"CAPN1",0.00145995370536573,-0.350985138600409,0.121,0.163,1,"CAPN1"
"SLFN11",0.00146644931651103,-0.389774020572237,0.097,0.134,1,"SLFN11"
"CTNNBIP1",0.00149651110023932,-0.351873799891579,0.136,0.179,1,"CTNNBIP1"
"MRPL53",0.0015032008898026,0.416648421514261,0.178,0.135,1,"MRPL53"
"KARS",0.00150565419822304,0.371795328350325,0.224,0.178,1,"KARS"
"PAPSS2",0.00151531456472331,-0.631875772630111,0.125,0.161,1,"PAPSS2"
"GLTP",0.00151735706132854,-0.365759141432051,0.114,0.154,1,"GLTP"
"BORCS7",0.0016008074308337,-0.328010650733157,0.133,0.177,1,"BORCS7"
"RBL2",0.00167219987934773,-0.353882111673836,0.069,0.101,1,"RBL2"
"UFM1",0.00169654091500593,0.299808330715703,0.335,0.282,1,"UFM1"
"PLA2G16",0.00171293360057003,-0.341086181030878,0.114,0.154,1,"PLA2G16"
"SETD2",0.00171370802230454,-0.271803194463935,0.104,0.143,1,"SETD2"
"DENND5A",0.00172045242217117,0.563728957158529,0.134,0.097,1,"DENND5A"
"C7ORF50",0.0017483620657539,-0.298195032728341,0.286,0.334,1,"C7ORF50"
"MAF1",0.00179225056109664,-0.339608934705358,0.248,0.295,1,"MAF1"
"PIK3R5",0.00187409347038896,0.506615269318771,0.102,0.068,1,"PIK3R5"
"KDSR",0.00191330062180965,0.371797231006869,0.134,0.096,1,"KDSR"
"CPD",0.0019287329807207,0.57228401670111,0.111,0.076,1,"CPD"
"EPN1",0.00193317687599721,-0.498764651089804,0.125,0.162,1,"EPN1"
"RNASE2",0.00195500347699751,-0.293499972933856,0.157,0.202,1,"RNASE2"
"TPST2",0.00195919172680264,-0.512548895263125,0.118,0.155,1,"TPST2"
"CCND3",0.00197798069707072,-0.320247598563881,0.199,0.245,1,"CCND3"
"CD40",0.00198991452518084,0.360288991632441,0.185,0.141,1,"CD40"
"SRPK2",0.0020233384607183,-0.274683051918521,0.156,0.2,1,"SRPK2"
"KDM3B",0.00203149273066492,-0.478096182023004,0.069,0.1,1,"KDM3B"
"TLR4",0.00203493897393076,-0.355560098069281,0.107,0.144,1,"TLR4"
"SLC6A6",0.0020973866976074,0.282981076136432,0.188,0.142,1,"SLC6A6"
"HSCB",0.00209763735453802,-0.382186881233912,0.074,0.106,1,"HSCB"
"SCAMP3",0.00211243698116373,0.399415823891179,0.112,0.076,1,"SCAMP3"
"PPP4R2",0.00211785760569496,0.432020917420497,0.216,0.173,1,"PPP4R2"
"OSTM1",0.00216953542444597,0.316844408361867,0.142,0.102,1,"OSTM1"
"CAPNS1",0.0021842409378133,-0.265630079227752,0.359,0.405,1,"CAPNS1"
"FBXO9",0.00220313925579828,-0.406413744725199,0.09,0.124,1,"FBXO9"
"PPP2R5C",0.00222001779920578,-0.253911175598163,0.209,0.257,1,"PPP2R5C"
"RNASEH2B",0.00228246654641307,-0.284374675941295,0.199,0.246,1,"RNASEH2B"
"ST3GAL1",0.00228428446263304,-0.276162436748323,0.136,0.18,1,"ST3GAL1"
"ATXN7L3B",0.00228733816862736,-0.376601137510268,0.072,0.103,1,"ATXN7L3B"
"NADK",0.00229177009820638,-0.409406316154779,0.141,0.18,1,"NADK"
"POLR2H",0.00230076425721898,0.608933694384563,0.164,0.126,1,"POLR2H"
"ARID5B",0.00230689318457246,-0.312981901852441,0.161,0.202,1,"ARID5B"
"DARS",0.00230775907726963,0.314280124167554,0.26,0.213,1,"DARS"
"MKNK1",0.00231279844864165,-0.267262103676944,0.143,0.184,1,"MKNK1"
"KIAA1109",0.00235038038713516,-0.358251221534176,0.078,0.111,1,"KIAA1109"
"ASMTL",0.00235944824792282,-0.364382960219255,0.079,0.111,1,"ASMTL"
"FAM204A",0.00236897387474915,-0.260420502072552,0.23,0.279,1,"FAM204A"
"AES",0.00237220479779753,-0.391617219026023,0.195,0.237,1,"AES"
"GNG7",0.0024142150787795,-0.351375295589167,0.068,0.1,1,"GNG7"
"THBD",0.0024247281050999,0.578335788229599,0.302,0.263,1,"THBD"
