"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"ARL4C",1.10951535330952e-11,-0.398914762367751,0.315,0.445,1.50206188531043e-07,"ARL4C"
"CSRNP1",1.19705898636891e-11,-0.302391158132217,0.259,0.395,1.62057845574624e-07,"CSRNP1"
"FKBP4",1.21295351802726e-11,1.03986682723409,0.197,0.103,1.6420964727053e-07,"FKBP4"
"HAVCR2",1.26175900499108e-11,0.685106474918084,0.328,0.214,1.70816934095693e-07,"HAVCR2"
"SLC11A2",1.42901525519625e-11,1.36910670509869,0.113,0.04,1.93460085248469e-07,"SLC11A2"
"CIB1",1.46777222599964e-11,0.376591119656987,0.628,0.513,1.98707003955831e-07,"CIB1"
"GAPT",1.57544802431715e-11,-0.631606150427009,0.113,0.203,2.13284153532056e-07,"GAPT"
"STK17B",1.61005863999865e-11,-0.409413823798004,0.375,0.505,2.17969738683017e-07,"STK17B"
"FMNL2",1.69144353594424e-11,1.06905932827739,0.102,0.032,2.28987625896131e-07,"FMNL2"
"MS4A6A",1.75026326572425e-11,-0.312135085182178,0.592,0.721,2.36950640913749e-07,"MS4A6A"
"ITGA5",1.94025808075777e-11,1.11722756247818,0.17,0.082,2.62672138972987e-07,"ITGA5"
"SPHK1",2.17152461257468e-11,1.04891883184441,0.126,0.049,2.9398100205036e-07,"SPHK1"
"RGS1",2.38243313174038e-11,0.26683506274969,0.648,0.482,3.22533797375012e-07,"RGS1"
"HPSE",2.47654577449383e-11,1.20499986834779,0.145,0.063,3.35274766950974e-07,"HPSE"
"MSL3",2.51045462146657e-11,-0.645524737583657,0.133,0.227,3.39865346654144e-07,"MSL3"
"C19ORF38",2.59677503019687e-11,-0.643131488135021,0.12,0.209,3.51551403588053e-07,"C19ORF38"
"IER5",2.75641908510968e-11,0.678988808873525,0.431,0.335,3.73164015742148e-07,"IER5"
"CXCR4",2.94034980663717e-11,0.30485256351178,0.628,0.468,3.9806455682254e-07,"CXCR4"
"UGCG",3.01167372458813e-11,0.965869090732,0.14,0.06,4.07720388834742e-07,"UGCG"
"ETV5",3.51306817752835e-11,1.08099355268648,0.112,0.04,4.75599169873788e-07,"ETV5"
"GPR183",4.18798012906807e-11,-0.313449995258974,0.636,0.676,5.66968749873235e-07,"GPR183"
"BHLHE40",5.36085617771959e-11,0.617399334259594,0.358,0.248,7.25752709339678e-07,"BHLHE40"
